PART_NO,ITEM_DESC,VOLUME,SURF_A,PC1,PC2,Distance
15-20682-011,"BRKT-ENG XM,RH,LONG,11""RL,M112",839601.0,283415.0,1.1341192784905456,-0.26584032144422837,0.8979258439462345
15-21413-000,"BRKT,OVERSLUNG XMBR",252079.0,53917.8,-0.240874574846865,0.12902664345289236,0.5382741832718773
15-21413-001,"BRKT,OVERSLUNG XMBR",252082.0,53917.8,-0.24087207248894027,0.1290291458108171,0.538272833695344
15-21560-000,"BRKT-CAB MOUNT,FRONT,LOWER",593482.0,144548.0,0.3933620478808818,0.0643316891123384,0.1974788398467581
15-21583-000,"BRKT-MTG,CMBR,360/410,10""RL,LH",570683.0,193375.0,0.5626195772618747,-0.1429600124861206,0.31336528841317396
15-21583-002,"BRKT-MTG,CMBR,360/410,11""RL,LH",589658.0,199475.0,0.6019683042308238,-0.15065391170707984,0.35345415229048227
15-21583-012,"BRKT-MTG,CMBR,360/410,10""RL,RH",569243.0,193271.0,0.5610174263494943,-0.14376012518149278,0.31196698764721126
15-21583-013,"BRKT-MTG,CMBR,360/410,11""RL,RH",588131.0,199343.0,0.600185618255567,-0.15141862609921075,0.3518695485802249
15-21594-000,"BRKT-MTG,BODY,FS65 W/BTR TNK",516012.0,173462.0,0.4402338491410365,-0.11177855776767266,0.18723554481310958
15-21603-000,"BRKT-MTG,BODY,BTR TANK",856553.0,277960.0,1.1272250455723207,-0.23066610749918265,0.8844276181868291
15-23686-000,"BRKT-FWD FRM,M2,LH,2007",1146690.0,312673.0,1.5030856146314595,-0.1225089290843537,1.2477607522450764
15-23686-001,"BRKT-FWD FRM,M2,RH,2007",1180500.0,319328.0,1.5569485554346034,-0.11996872226380662,1.301505321887338
15-23688-010,"BRKT-BMPR MNT,M2/ACT,EPA07,LH",183966.0,65890.8,-0.25152161842298326,0.02604495014369655,0.5181392887741579
15-23688-020,"BRKT-BMPR MNT,M2/ACT,EPA07,RH",183966.0,65890.8,-0.25152161842298326,0.02604495014369655,0.5181392887741579
15-23693-000,"BRKT-ENG XM,07M2,410,10,50,LH",492571.0,166945.0,0.39555201295447145,-0.10620190299036346,0.14231019541549492
15-23693-001,"BRKT-ENG XM,07M2,410,10,50,RH",492571.0,166945.0,0.39555201295447145,-0.10620190299036346,0.14231019541549492
15-23693-002,"BRKT-ENG XM,07M2,410,10,100,LH",492571.0,166945.0,0.39555201295447145,-0.10620190299036346,0.14231019541549492
15-23693-003,"BRKT-ENG XM,07M2,410,10,100,RH",492571.0,166945.0,0.39555201295447145,-0.10620190299036346,0.14231019541549492
15-23693-006,"BRKT-ENG XM,07M2,410,11,100,LH",507917.0,171901.0,0.42746251076024516,-0.11251161098740714,0.1748379454920033
15-23693-007,"BRKT-ENG XM,07M2,410,11,100,RH",507917.0,171901.0,0.42746251076024516,-0.11251161098740714,0.1748379454920033
15-23694-000,"BRKT-ENG XM,07M2,360,10,50,LH",505252.0,170875.0,0.42128337506025376,-0.11077833120037453,0.1684379968275894
15-23694-001,"BRKT-ENG XM,07M2,360,10,50,RH",505252.0,170875.0,0.42128337506025376,-0.11077833120037453,0.1684379968275894
15-23694-002,"BRKT-ENG XM,07M2,360,10,100,LH",505252.0,170875.0,0.42128337506025376,-0.11077833120037453,0.1684379968275894
15-23694-003,"BRKT-ENG XM,07M2,360,10,100,RH",505252.0,170875.0,0.42128337506025376,-0.11077833120037453,0.1684379968275894
15-23694-006,"BRKT-ENG XM,07M2,360,11,100,LH",521981.0,176279.0,0.4560749267982746,-0.11766191912305295,0.2039038869926775
15-23694-007,"BRKT-ENG XM,07M2,360,11,100,RH",521981.0,176279.0,0.4560749267982746,-0.11766191912305295,0.2039038869926775
15-23711-004,"BRKT-BRACE,ENGINE X/M,LH",235570.0,107660.0,-0.04741765499661566,-0.0919712277170705,0.3038848566048267
15-23711-005,"BRKT-BRACE,ENGINE X/M,RH",235570.0,107660.0,-0.04741765499661566,-0.0919712277170705,0.3038848566048267
15-23711-008,"BRKT-BRACE,ENGINE X/M,LH,ISX12",234555.0,107256.0,-0.04982209109290674,-0.09126005381652173,0.3062542761588656
15-23711-009,"BRKT-BRACE,ENGINE X/M,RH,ISX12",230470.0,107162.0,-0.05359192804593775,-0.0943049716118722,0.3101688080159558
15-23775-000,"BRKT-RECEIVER,T-HOOK,07 HX111",481923.0,82424.1,0.060761695483643956,0.2108250096920267,0.3484255260392515
15-23806-000,"BRKT-FRM FRT,SBA HWY,LH",1665130.0,450219.0,2.4658973355137754,-0.2204390216310771,2.214373682666098
15-23806-001,"BRKT-FRM FRT,SBA HWY,RH",1665130.0,450219.0,2.4658973355137754,-0.2204390216310771,2.214373682666098
15-23806-007,"STMPING-BRKT-FRM FRT,07,RH RAM",1638580.0,443180.0,2.416609414949416,-0.21544283633465575,2.164866945357723
15-23806-010,"BRKT-FRM FRT,SBA,WBO,SPRING,LH",1597930.0,433162.0,2.3440735282519034,-0.21072084939765923,2.09217758974395
15-23806-011,"BRKT-FRM FRT,SBA,WBO,SPRING,RH",1597940.0,433162.0,2.344081869444986,-0.21071250820457677,2.092185383632588
15-23844-000,STMP-TOW HOOK STORAGE BRKT,14936.6,12248.7,-0.5993537192426318,0.09189567856038966,0.8721279608106994
15-23923-010,"STMP-BRKT,TOW DEVICE",269905.0,95065.3,-0.06734273937368118,-0.01476717044265419,0.3295333488810314
15-23923-020,"STMP-BRKT,TOW DEVICE,MID FRAME",268890.0,94873.3,-0.06892971344109843,-0.014873458570979234,0.3310710999546278
